Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.47003831880511154,0.0,0,0
1,0.4746109164278834,0.0,0,0
100,0.8118346307768388,0.0,0,0
200,1.079458256212518,0.0,0,0
300,1.3325017186976693,0.0,0,0
400,1.5951439384709485,0.0,0,0
500,1.798009666098507,0.0,0,0
600,2.100633074481108,0.0,0,0
700,2.375386346258291,0.0,0,0
800,2.716036635334647,0.0,0,0
900,3.003596359668013,0.0,0,0
1000,3.23743835754587,0.0,0,0
1100,3.5372110065313027,0.0,0,0
1200,3.7751071565061483,0.0,0,0
1300,4.032066318759787,0.0,0,0
1400,4.329011362771304,0.0,0,0
1500,4.57216244995155,0.0,0,0
1600,4.793237177629384,0.0,0,0
1700,5.0252695026952825,0.0,0,0
1800,5.249863562780147,0.0,0,0
1900,5.448764040138258,0.0,0,0
2000,5.706736044430579,0.0,0,0
2100,5.960745085168752,0.0,0,0
2200,6.285799497972121,0.0,0,0
2300,6.547853735994014,0.0,0,0
2400,6.735078139895069,0.0,0,0
2500,6.9664099421150425,0.0,0,0
2600,7.237330001763823,0.0,0,0
2700,7.468739158113327,0.0,0,0
2800,7.701347731794758,0.0,0,0
2900,7.946586963799784,0.0,0,0
3000,8.199423508114183,0.0,0,0
3100,8.408156401939468,0.0,0,0
3200,8.575606854923105,0.0,0,0
3300,8.788269288502345,0.0,0,0
3400,9.07710117259531,0.0,0,0
3500,9.290382908758042,0.0,0,0
3600,9.481211874154267,0.0,0,0
3700,9.701084315360625,0.0,0,0
3800,9.928472760640707,0.0,0,0
3900,10.131952470456852,0.0,0,0
4000,10.33739078725532,0.0,0,0
4100,10.527372325429628,0.0,0,0
4200,10.747780056670246,0.0,0,0
4300,11.023250272514787,0.0,0,0
4400,11.298890862789893,0.0,0,0
4500,11.47611426235993,0.0,0,0
4600,11.743350403755102,0.0,0,0
4700,11.951174284192623,0.0,0,0
4800,12.150907274235124,0.0,0,0
4900,12.34230277496445,0.0,0,0
5000,12.564877332967574,0.0,0,0
5100,12.739712583363742,0.0,0,0
5200,12.953153909643069,0.0,0,0
5300,13.100534370779314,0.0,0,0
5400,13.289033245465374,0.0,0,0
5500,13.458963020263095,0.0,0,0
5600,13.68378310251424,0.0,0,0
5700,13.894343192019852,0.0,0,0
5800,14.146235854013911,0.0,0,0
5900,14.41937035266248,0.0,0,0
6000,14.643062997774502,0.0,0,0
6100,14.821392235584508,0.0,0,0
6200,15.071616475870554,0.0,0,0
6300,15.305174093427125,0.0,0,0
6400,15.557546485484101,0.0,0,0
6500,15.869546610272343,0.0,0,0
6600,16.192596535190614,0.0,0,0
6700,16.542529542056084,0.0,0,0
6800,16.75010812051446,0.0,0,0
6900,17.114564871018487,0.0,0,0
7000,17.324616402676078,0.0,0,0
7100,17.637331553183127,0.0,0,0
7200,17.915510332117638,0.0,0,0
7300,18.296396462515958,0.0,0,0
7400,18.52800835227097,0.0,0,0
7500,18.729450226482882,0.0,0,0
7600,19.007909554090556,0.0,0,0
7700,19.313344834616082,0.0,0,0
7800,19.619800666687297,0.0,0,0
7900,19.889939931646733,0.0,0,0
8000,20.158283224456245,0.0,0,0
8100,20.33382815838455,0.0,0,0
8200,20.697376204431944,0.0,0,0
8300,21.05103324129385,0.0,0,0
8400,21.42395775603416,0.0,0,0
8500,21.742335053602062,0.0,0,0
8600,22.11398056274469,0.0,0,0
8700,22.45867511558062,0.0,0,0
8800,22.808899109927264,0.0,0,0
8900,23.13573153586034,0.0,0,0
9000,23.46636772428293,0.0,0,0
9100,23.780670400844933,0.0,0,0
9200,24.123875454013902,0.0,0,0
9300,24.42321373531757,0.0,0,0
9400,24.772541419848046,0.0,0,0
9500,25.08923407716781,0.0,0,0
9600,25.40780928012859,0.0,0,0
9700,25.703140280490455,0.0,0,0
9800,26.133853504511734,0.0,0,0
9900,26.446976114060195,0.0,0,0
10000,26.79489984074329,0.0,0,0
10100,27.290266808545503,0.0,0,0
10200,27.660822386188556,0.0,0,0
10300,28.059934671848765,0.0,0,0
10400,28.359013046496433,0.0,0,0
10500,28.775134020883016,0.0,0,0
10600,29.185069206083778,0.0,0,0
10700,29.483788542679477,0.0,0,0
10800,29.8644608361626,0.0,0,0
10900,30.413416563552417,0.0,0,0
11000,30.797207713459944,0.0,0,0
11100,31.190291654151565,0.0,0,0
11200,31.611071530065157,0.0,0,0
11300,32.04988773347396,0.0,0,0
11400,32.32532781071011,0.0,0,0
11500,32.839292827025346,0.0,0,0
11600,33.225449658593675,0.0,0,0
11700,33.77047435986443,0.0,0,0
11800,34.057287295500096,0.0,0,0
11900,34.529743004832866,0.0,0,0
