Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.36495313728426415,0.0,0,0
1,0.3658810961407763,0.0,0,0
100,0.5028559062178939,0.0,0,0
200,0.6751536716919478,0.0,0,0
300,0.9024256415732208,0.0,0,0
400,1.1731575455656666,0.0,0,0
500,1.5029785861089313,0.0,0,0
600,1.7738379568567304,0.0,0,0
700,2.039334090930401,0.0,0,0
800,2.2700464482615756,0.0,0,0
900,2.4880878910210233,0.0,0,0
1000,2.7019883927403154,0.0,0,0
1100,2.9886099240640673,0.0,0,0
1200,3.239077988483096,0.0,0,0
1300,3.4465166257321616,0.0,0,0
1400,3.6272153703980576,0.0,0,0
1500,3.884056621137713,0.0,0,0
1600,4.111594887703938,0.0,0,0
1700,4.318712643994254,0.0,0,0
1800,4.527798767951619,0.0,0,0
1900,4.735990534622498,0.0,0,0
2000,4.972461575993945,0.0,0,0
2100,5.222836785341659,0.0,0,0
2200,5.475429906204031,0.0,0,0
2300,5.642377682553889,0.0,0,0
2400,5.854924564638791,0.0,0,0
2500,6.072394637384075,0.0,0,0
2600,6.3222037944002185,0.0,0,0
2700,6.616128473441161,0.0,0,0
2800,6.876681145099804,0.0,0,0
2900,7.173838765465586,0.0,0,0
3000,7.34231613294347,0.0,0,0
3100,7.563766811312422,0.0,0,0
3200,7.8422520786756555,0.0,0,0
3300,8.03025829196898,0.0,0,0
3400,8.27547130708236,0.0,0,0
3500,8.491757015333521,0.0,0,0
3600,8.754571669905378,0.0,0,0
3700,8.962593616048078,0.0,0,0
3800,9.18929819204327,0.0,0,0
3900,9.349159824234945,0.0,0,0
4000,9.567303093595232,0.0,0,0
4100,9.845443168020815,0.0,0,0
4200,10.200662550227772,0.0,0,0
4300,10.389919567837426,0.0,0,0
4400,10.572869076413937,0.0,0,0
4500,10.780381670085667,0.0,0,0
4600,11.005187034223667,0.0,0,0
4700,11.20049815809227,0.0,0,0
4800,11.429442143399415,0.0,0,0
4900,11.596210385420317,0.0,0,0
5000,11.890741887489204,0.0,0,0
5100,12.110105832647188,0.0,0,0
5200,12.378551071950646,0.0,0,0
5300,12.699317572798758,0.0,0,0
5400,12.911019804449241,0.0,0,0
5500,13.222066406437163,0.0,0,0
5600,13.493524348015283,0.0,0,0
5700,13.678212527635168,0.0,0,0
5800,13.874545647581877,0.0,0,0
5900,14.132694731957145,0.0,0,0
6000,14.362330835449153,0.0,0,0
6100,14.607313762773925,0.0,0,0
6200,14.851887780052751,0.0,0,0
6300,15.083896530745792,0.0,0,0
6400,15.378268109526866,0.0,0,0
6500,15.669495029648477,0.0,0,0
6600,16.1306131725318,0.0,0,0
6700,16.514915322106457,0.0,0,0
6800,16.88052450916701,0.0,0,0
6900,17.11323835432647,0.0,0,0
7000,17.397370063433293,0.0,0,0
7100,17.6166560029667,0.0,0,0
7200,17.82386397869809,0.0,0,0
7300,18.14600330110909,0.0,0,0
7400,18.506976730966187,0.0,0,0
7500,18.773566385453165,0.0,0,0
7600,19.13512327703066,0.0,0,0
7700,19.481347365346654,0.0,0,0
7800,19.808296171082606,0.0,0,0
7900,20.23511045358502,0.0,0,0
8000,20.5727018327366,0.0,0,0
8100,20.81501434495739,0.0,0,0
8200,21.07452956053517,0.0,0,0
8300,21.415552608386385,0.0,0,0
8400,21.660507345531755,0.0,0,0
8500,22.03465650993728,0.0,0,0
8600,22.451023266195612,0.0,0,0
8700,22.811746124007207,0.0,0,0
8800,23.125298616842162,0.0,0,0
8900,23.490162086451882,0.0,0,0
9000,23.939507970307147,0.0,0,0
9100,24.327745349369216,0.0,0,0
9200,24.838834091385824,0.0,0,0
9300,25.164411138277387,0.0,0,0
9400,25.57191484694293,0.0,0,0
9500,25.99239995123723,0.0,0,0
9600,26.33783764678213,0.0,0,0
9700,26.880424619883943,0.0,0,0
9800,27.326938703499945,0.0,0,0
9900,27.627566051151764,0.0,0,0
10000,28.049074748901422,0.0,0,0
10100,28.49674182860581,0.0,0,0
10200,28.976980662642568,0.0,0,0
10300,29.336525965935543,0.0,0,0
10400,29.716701014429553,0.0,0,0
10500,30.218945240049454,0.0,0,0
10600,30.65645162859479,0.0,0,0
10700,30.985922580259476,0.0,0,0
10800,31.437299697926605,0.0,0,0
10900,31.93500252804897,0.0,0,0
11000,32.46993478208849,0.0,0,0
11100,32.821024482112385,0.0,0,0
11200,33.23888515363536,0.0,0,0
11300,33.65282732249453,0.0,0,0
11400,34.17025131232918,0.0,0,0
11500,34.66261497365291,0.0,0,0
11600,35.06610073271199,0.0,0,0
11700,35.476577729951856,0.0,0,0
11800,36.02640380313691,0.0,0,0
11900,36.5015158521449,0.0,0,0
12000,36.95663372516455,0.0,0,0
