Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,0.7081362654492195,0.0,0,0
1,0.7152303316998349,0.0,0,0
100,1.0354426083426285,0.0,0,0
200,1.3169075248728364,0.0,0,0
300,1.5897642944297352,0.0,0,0
400,1.879551011197394,0.0,0,0
500,2.1284922094924728,0.0,0,0
600,2.4637958728132343,0.0,0,0
700,2.7353519812166036,0.0,0,0
800,3.0073625529594565,0.0,0,0
900,3.216294283949767,0.0,0,0
1000,3.4929594053022184,0.0,0,0
1100,3.8123129229377355,0.0,0,0
1200,4.064920554075882,0.0,0,0
1300,4.306639475762379,0.0,0,0
1400,4.603728650414386,0.0,0,0
1500,4.822469602558599,0.0,0,0
1600,5.041552560440041,0.0,0,0
1700,5.245846743386983,0.0,0,0
1800,5.514523269350083,0.0,0,0
1900,5.730014585837435,0.0,0,0
2000,5.966498639991329,0.0,0,0
2100,6.2243166121218385,0.0,0,0
2200,6.534912544523396,0.0,0,0
2300,6.724349626554918,0.0,0,0
2400,6.98513056198979,0.0,0,0
2500,7.269260218134467,0.0,0,0
2600,7.462748896271344,0.0,0,0
2700,7.725209619430268,0.0,0,0
2800,7.974500809740211,0.0,0,0
2900,8.260837057483354,0.0,0,0
3000,8.50228325539103,0.0,0,0
3100,8.729053912036786,0.0,0,0
3200,8.927222312334514,0.0,0,0
3300,9.224136781293046,0.0,0,0
3400,9.435812791060744,0.0,0,0
3500,9.670499291665923,0.0,0,0
3600,9.916748000897826,0.0,0,0
3700,10.145464401336723,0.0,0,0
3800,10.354545796630717,0.0,0,0
3900,10.53013798987914,0.0,0,0
4000,10.78216029796627,0.0,0,0
4100,10.998243494707062,0.0,0,0
4200,11.356767743047604,0.0,0,0
4300,11.615656686020989,0.0,0,0
4400,11.884991111370265,0.0,0,0
4500,12.178543814255592,0.0,0,0
4600,12.449529128874028,0.0,0,0
4700,12.816637244202784,0.0,0,0
4800,13.074916210003805,0.0,0,0
