Generation,BestEval,FlatWeights,PercentUniqueClassesProduced,PercentOfProductionsValid
0,1.568382362486101,0.0,0,0
1,1.5687295933163157,0.0,0,0
100,1.854589832303937,0.0,0,0
200,2.134462503024863,0.0,0,0
300,2.3792236328254277,0.0,0,0
400,2.5969734058223164,0.0,0,0
500,2.8833619075674117,0.0,0,0
600,3.1436798796030163,0.0,0,0
700,3.3961851091946342,0.0,0,0
800,3.6854878248401537,0.0,0,0
900,3.9914171017864692,0.0,0,0
1000,4.227576557851695,0.0,0,0
1100,4.469458811965512,0.0,0,0
1200,4.733642549647385,0.0,0,0
1300,4.993820255574942,0.0,0,0
1400,5.227141442967953,0.0,0,0
1500,5.470495570732501,0.0,0,0
1600,5.645413356635844,0.0,0,0
1700,5.893632182034906,0.0,0,0
1800,6.107832167488629,0.0,0,0
1900,6.4016652023353995,0.0,0,0
2000,6.633744335275335,0.0,0,0
2100,6.8064989954287345,0.0,0,0
2200,7.067865794155662,0.0,0,0
2300,7.254508562002913,0.0,0,0
2400,7.519652832314353,0.0,0,0
2500,7.701157440276521,0.0,0,0
2600,7.911186171919273,0.0,0,0
2700,8.119802068752882,0.0,0,0
2800,8.32967082508799,0.0,0,0
2900,8.513744722561844,0.0,0,0
3000,8.693703398534268,0.0,0,0
3100,8.920552499967735,0.0,0,0
3200,9.086523069073056,0.0,0,0
3300,9.31211869437507,0.0,0,0
3400,9.497482861659153,0.0,0,0
3500,9.716929800020225,0.0,0,0
3600,9.9674012227686,0.0,0,0
3700,10.243965655080366,0.0,0,0
3800,10.486400693251735,0.0,0,0
3900,10.675578378968744,0.0,0,0
4000,10.899247462370521,0.0,0,0
4100,11.114591683646202,0.0,0,0
4200,11.307924839091442,0.0,0,0
4300,11.502040738503306,0.0,0,0
4400,11.64986460675663,0.0,0,0
4500,11.961816660103768,0.0,0,0
4600,12.218393538197374,0.0,0,0
4700,12.494873223254295,0.0,0,0
4800,12.723100409927264,0.0,0,0
4900,12.931405697605367,0.0,0,0
5000,13.24597323230022,0.0,0,0
5100,13.555703024926782,0.0,0,0
5200,13.756639698630982,0.0,0,0
5300,13.984514245872486,0.0,0,0
5400,14.286033544795197,0.0,0,0
5500,14.486588667526757,0.0,0,0
5600,14.723542874923105,0.0,0,0
5700,14.920489478065635,0.0,0,0
5800,15.185316683447846,0.0,0,0
5900,15.426828354251242,0.0,0,0
6000,15.688159486841961,0.0,0,0
6100,15.908622564810116,0.0,0,0
6200,16.092883697232207,0.0,0,0
6300,16.285342430971113,0.0,0,0
6400,16.66228898258791,0.0,0,0
6500,16.94932945667574,0.0,0,0
6600,17.268663662575225,0.0,0,0
6700,17.495057295360546,0.0,0,0
6800,17.735869209234497,0.0,0,0
6900,18.02886174464937,0.0,0,0
7000,18.299641481925864,0.0,0,0
7100,18.59406489124633,0.0,0,0
7200,18.774343752806494,0.0,0,0
7300,18.92599360751856,0.0,0,0
7400,19.1628732588589,0.0,0,0
7500,19.45785677106248,0.0,0,0
7600,19.670165505240004,0.0,0,0
7700,19.950035388833964,0.0,0,0
7800,20.161769171582108,0.0,0,0
7900,20.350141074346716,0.0,0,0
8000,20.603700172779575,0.0,0,0
8100,20.832198284348735,0.0,0,0
8200,21.17595993022301,0.0,0,0
8300,21.45221007914298,0.0,0,0
8400,21.725284213903755,0.0,0,0
8500,22.004235606248972,0.0,0,0
8600,22.306958483308268,0.0,0,0
8700,22.508783744397345,0.0,0,0
8800,22.76891237134329,0.0,0,0
8900,23.062461861540577,0.0,0,0
9000,23.392192959931588,0.0,0,0
9100,23.631681572696145,0.0,0,0
9200,23.969499552972408,0.0,0,0
9300,24.25346276120667,0.0,0,0
9400,24.641296009524567,0.0,0,0
9500,24.949603637561758,0.0,0,0
9600,25.253967430441513,0.0,0,0
9700,25.575102042624554,0.0,0,0
9800,25.89631587267949,0.0,0,0
9900,26.29384896036249,0.0,0,0
10000,26.592080775571773,0.0,0,0
10100,26.851050742060803,0.0,0,0
10200,27.210176274566784,0.0,0,0
10300,27.516413064098803,0.0,0,0
10400,27.94752659453378,0.0,0,0
10500,28.366808613474593,0.0,0,0
10600,28.681598942948536,0.0,0,0
10700,29.084365470292393,0.0,0,0
10800,29.507299344359552,0.0,0,0
10900,29.823071493058574,0.0,0,0
11000,30.261656488934644,0.0,0,0
11100,30.57321271289657,0.0,0,0
11200,30.873983265275314,0.0,0,0
11300,31.308757179829062,0.0,0,0
11400,31.646733316616142,0.0,0,0
11500,32.08489902686692,0.0,0,0
11600,32.40341705920906,0.0,0,0
11700,32.87727234381248,0.0,0,0
11800,33.174926814851105,0.0,0,0
11900,33.57898228647863,0.0,0,0
12000,33.89481777385909,0.0,0,0
12100,34.2380051387553,0.0,0,0
12200,34.71041744991408,0.0,0,0
12300,35.165911538283694,0.0,0,0
12400,35.556176687746415,0.0,0,0
12500,35.9378027491362,0.0,0,0
12600,36.36931816954455,0.0,0,0
12700,36.69014097557292,0.0,0,0
12800,37.127785799457996,0.0,0,0
12900,37.51348563323343,0.0,0,0
13000,37.933531953300545,0.0,0,0
13100,38.32378032645542,0.0,0,0
13200,38.87144857514553,0.0,0,0
13300,39.29911858246658,0.0,0,0
13400,39.80703261357476,0.0,0,0
13500,40.239140471643324,0.0,0,0
13600,40.61034251318052,0.0,0,0
13700,41.01194142232926,0.0,0,0
13800,41.4245257988155,0.0,0,0
13900,41.89768301934733,0.0,0,0
14000,42.344662719010394,0.0,0,0
14100,42.869454107191764,0.0,0,0
14200,43.27948921660644,0.0,0,0
14300,43.779543475129316,0.0,0,0
14400,44.2436917935695,0.0,0,0
14500,44.60911414806408,0.0,0,0
14600,45.04795531602128,0.0,0,0
14700,45.5127240806916,0.0,0,0
14800,45.853660404845016,0.0,0,0
14900,46.31505564240407,0.0,0,0
15000,46.95400265300948,0.0,0,0
15100,47.556317028266356,0.0,0,0
15200,48.12544685154007,0.0,0,0
15300,48.56154156357465,0.0,0,0
15400,49.12245856769973,0.0,0,0
15500,49.64514778640051,0.0,0,0
15600,50.24524314055656,0.0,0,0
15700,50.69320768799008,0.0,0,0
15800,51.32434662921468,0.0,0,0
15900,51.8953877114757,0.0,0,0
